Array List
First;Middle;Last;Remove
8799;5547;98;6023
8662;5154;104;5641
9192;5733;102;6214
9821;6160;114;6897
9214;5915;103;6543
10584;6470;158;6409
8636;5559;111;6071
8826;5736;102;6094
8888;5519;366;18833
8784;5456;111;6063
8774;5726;113;6349
8673;5648;108;6214
9074;5887;112;6329
9045;5778;103;6300
9211;6117;126;6433
9590;6709;126;7396
11110;5996;104;6454
8727;5700;80;6455
8953;5662;97;6207
9207;6298;118;6770
9011;5842;101;12063
8990;5936;107;6481
8838;21247;101;7874
12165;9830;357;8290
8698;6087;105;6587
8796;5857;102;6302
8547;5892;115;6565
8732;5825;157;6391
8682;6685;104;7675
8805;6368;90;6956
8811;6280;37;6953
8611;6213;35;6916
8847;6305;36;7136
8876;6500;40;6970
9431;7174;37;8053
9008;6450;38;7042
23938;11449;40;7021
9179;6362;40;6995
8879;6408;36;7248
9364;15964;34;7139
33720;7938;36;8146
8520;6403;38;11994
8782;6544;38;7108
8273;6401;35;6956
9075;7976;37;8371
8726;6660;36;7362
8507;6572;38;7213
8638;6427;34;7225
8569;6451;35;7116
8531;6471;35;7387
8675;6710;90;7389
8265;6441;34;7192
8305;6302;37;6984
8568;6576;37;7409
8233;6472;35;7196
8262;6553;35;7122
8579;19616;36;7289
8684;6757;33;7431
8805;6743;35;7605
22378;20446;36;7684
8803;6771;44;7574
8748;6839;34;7637
22738;7425;38;18142
8766;7023;36;7637
8789;6993;35;7718
8858;6946;40;7595
8823;7035;34;7711
8833;7037;35;7773
8718;7140;35;7941
8605;7052;35;8015
10745;22347;37;10164
23565;7662;38;9069
12056;24387;34;8008
8706;7204;35;7791
8643;7168;34;7851
8581;7192;35;7773
8414;7239;38;7919
8581;7475;38;7907
8565;7388;36;8160
8839;7464;35;8195
8984;7351;39;8553
8847;7360;37;8242
8864;7538;38;8323
8606;7634;37;13266
8768;7513;34;8504
8747;7751;33;8433
8786;7689;37;8449
8674;7579;35;8402
8889;7787;36;8600
8690;7761;33;8554
8689;7726;34;8573
8697;7738;35;8472
8700;7729;36;8581
8653;7609;34;8792
8730;7727;35;8652
8673;7829;39;8772
8760;7768;35;8785
8759;7915;36;8730
8684;8006;35;8749
8777;8019;39;8778
8702;7932;41;8850
8895;8035;35;8809
9996;8732;97;9186
8646;8195;34;8801
8458;8055;37;28236
8576;7761;33;8747
8288;7987;37;8562
8365;7890;35;8779
8842;8284;36;9250
8943;8332;39;9353
10657;10302;43;10389
8390;8172;35;8992
9002;8582;35;9221
8887;8619;37;9505
8349;8243;142;8845
8715;8121;37;9213
8509;8000;34;8798
8208;8013;34;8858
8439;8232;37;9052
8528;8524;35;9128
8782;8321;36;9327
8548;8460;34;9446
8913;8564;39;9426
8718;8793;33;9511
23979;10925;39;27111
8502;8857;37;15033
8621;8488;36;9322
9708;9867;38;11161
8873;8714;38;9555
8726;8573;34;9561
8977;8641;23811;11828
18175;10710;43;11687
18033;10676;37;11718
18164;10750;41;11860
18135;10873;37;11968
17657;11007;41;11855
18012;10932;39;11912
32999;13432;39;14190
18102;17971;38;11702
17901;10756;35;11726
18125;10957;36;11970
17889;11068;39;12187
18003;11095;40;12117
17948;10986;35;12024
32800;12795;39;14204
18142;11096;92;12163
17811;11103;36;12130
18067;11218;35;12132
18181;10986;36;12191
33536;13877;120;12422
16943;29923;39;11456
16964;10830;35;11617
17801;11229;36;12177
18057;11464;40;12256
18100;11293;35;12427
17945;11380;41;12703
17861;26332;66;27310
17883;11400;37;12377
17819;11238;36;32413
17715;18189;38;12289
17811;11442;38;12542
20351;12801;84;25746
18012;11547;40;12678
17855;11592;37;12671
17994;11602;37;12593
18123;11580;41;12668
18018;11454;38;12641
17795;11569;44;12602
17884;11575;36;12830
17957;11938;39;12752
17986;35863;36;12856
18208;11680;38;12728
18040;11760;33;13960
18318;11879;36;13362
17884;11897;39;12839
17940;11625;99;12536
17974;12010;39;4106316
16843;10663;41;11860
17141;11138;41;11990
45883;40219;52;13227
18237;12035;35;13049
17692;11545;35;12708
17619;11655;34;13058
17654;12150;36;13394
18005;11993;38;13151
18047;12006;38;13293
18177;12126;34;13209
30437;13177;37;13171
17894;12000;84;13279
18112;11985;38;13191
17973;12225;36;19904
31466;15384;61;27476
17766;12144;36;13419
18010;12102;39;13610
18001;12423;39;13546
18201;12413;37;13583
18011;28340;111;28127
17968;12440;42;13476
17703;12382;44;13599
17898;12300;37;13640
17967;12374;96;13805
18077;12658;43;13549
17893;12546;34;13849
19685;14784;42;16397
33635;14228;124;30016
17293;11865;36;13343
17753;12229;88;13016
17984;12380;40;14535
17337;11909;41;13241
17392;11718;37;12977
18216;13120;40;14283
17908;12865;40;14114
17952;12819;41;13983
18457;13020;36;14423
18353;13007;39;39956
18710;13311;40;14510
18249;13136;37;14607
26032;13208;37;14566
17961;12858;50;14051
18163;13267;48;14508
18086;13014;37;14271
18090;13193;39;14486
17664;12729;38;14118
17872;12967;34;14381
33693;16639;39;15936
17995;13133;39;17962
17994;12943;88;14418
18014;12904;37;14356
17714;13141;40;14588
17972;13281;38;14565
18059;20843;42;14386
17888;13272;36;14553
17971;13332;40;14491
18101;27998;39;30814
17960;13269;36;14528
18611;13743;38;14972
18435;13458;42;14644
17857;13459;36;14844
31121;14046;42;14677
18504;13748;38;22327
18327;14310;97;15033
44866;13235;40;14458
17998;13887;47;14812
18013;13602;41;14813
18580;13955;37;30331
18363;13920;38;15453
18786;13752;37;15778
18230;13835;38;14833
17658;13885;38;15094
18467;14109;93;14924
18301;14154;35;16162
17925;14749;101;15512
29090;29491;45;31565
18604;13822;39;15937
18295;13845;96;15616
17717;14255;40;15327
17900;14250;103;16018
21222;14447;41;16032
18253;13863;37;15523
18446;14256;112;15434
18121;14125;36;15306
21062;16810;134;17272
17647;13269;106;14828
17898;13453;38;15244
18075;13774;135;15046
17897;14058;38;15595
17920;14519;43;15958
18301;13590;95;15851
17600;13905;37;15548
17992;13666;41;16186
17726;14959;38;16031
32658;30553;41;18391
18384;14783;39;15964
17531;15018;103;15743
17976;13744;41;30606
17976;14161;210;15190
20237;17105;44;18894
20846;17384;176;18635
20313;16471;37;18699
19839;15143;39;16363
25950;16135;108;19217
21511;18990;41;21275
20404;18147;183;17558
21986;18038;124;18031
19113;15689;40;19503
18989;16111;40;17790
20477;16120;87;19087
19439;15966;40;17886
21738;18669;41;19321
18947;17014;39;17358
19725;15250;42;17224
20955;18010;40;19744
20103;20726;365;21854
20542;17373;94;18727
21382;15058;81;17246
21425;17642;126;18598
21373;17778;53;20235
22219;17506;43;19221
19274;17243;121;18623
20506;16520;211;18477
20894;17198;242;21749
24210;18987;298;21384
20702;18315;47;32849
21479;18800;131;19946
20467;17095;42;19237
20981;16930;39;19319
22874;18557;100;21844
19193;18393;47;19732
21370;17635;50;19812
20189;17418;41;18631
19149;16982;42;19015
20061;16958;42;19466
54268;18506;110;21665
55367;34049;657;79665
19266;17657;119;18681
20687;17256;46;19101
18940;16828;41;18860
19890;17863;43;21375
20549;18652;40;19674
20053;20992;309;25894
19231;16788;42;18389
19927;16863;96;18508
19329;17277;51;18763
24584;18969;103;19490
19194;16442;46;18359
19497;16730;45;18510
18910;16807;48;18520
31165;17697;43;21112
51443;20074;218;21289
47972;42000;45;53651
19713;18017;219;20825
20992;18466;312;22003
19324;20536;108;21697
20101;17084;138;3233853
19287;16675;51;18835
20598;20199;164;20896
19949;18108;41;19160
19877;17479;47;18888
25742;22517;47;22715
19318;19102;162;21509
20130;17543;45;20421
20591;18140;44;20306
19913;18155;49;32227
21671;19768;96;19995
20401;18955;43;21241
19947;18841;178;20725
20180;18399;86;19545
20089;17864;42;19498
20159;19080;101;21071
20008;18043;134;19965
22542;20935;46;21224
21625;20327;108;27815
21149;20337;148;21439
19690;20017;46;21419
20440;19666;101;19892
19925;19310;113;31976
19940;18088;42;20005
21926;18957;119;21571
36521;18511;41;20070
18660;17374;43;19360
18571;17762;41;19520
18375;17984;43;20121
18821;17819;38;19446
19563;20625;101;23600
20585;17748;119;20133
19182;18593;44;19670
18474;17978;94;19578
20990;28642;49;21836
23824;20664;42;21929
19591;25427;42;19991
19338;17733;43;19884
48336;19197;47;21406
21167;20031;40;20998
20091;17924;41;21779
20451;29097;47;20740
37708;33987;221;43524
21011;20419;119;21199
20712;19728;97;22089
19822;37061;93;20366
19755;18488;43;21285
19763;18372;40;20885
19865;19044;45;55379
19668;19154;45;20927
19358;20794;101;20798
18991;18895;43;20974
19680;18959;41;21350
19857;18603;41;20824
55471;49976;524;49501
21274;18595;105;21492
21062;19736;90;22335
19541;19572;93;21790
20264;19684;39;21812
21071;19441;44;22085
19999;19046;45;21516
19891;18988;41;21194
19573;19260;37;21282
19068;18284;45;20650
20650;18999;44;21782
19009;19239;101;21063
20617;19079;44;21990
19557;19540;44;31605
25451;18719;92;21089
18881;18488;100;20910
18467;18221;112;20352
38655;27116;89;25984
45019;75286;330;80329
40153;25284;117;25837
42578;23774;111;26581
40865;24916;104;26670
42356;24748;108;26163
39057;23271;95;25485
41494;31889;143;26617
40029;39603;106;24963
37771;22167;54;23687
40437;21889;108;26474
40675;23081;96;27326
44853;24513;105;29621
36936;20885;102;23172
37892;56473;52;26975
38106;24966;123;26632
38544;24683;109;25604
38161;36535;52;25013
37336;23036;47;24775
37508;23516;99;26809
36630;23615;42;24448
80164;31825;89;30739
37332;23189;81;24480
36284;23409;103;23975
42403;36741;84;25478
36264;22526;105;24445
36807;23301;57;25179
35649;22587;48;24322
49780;45813;95;34087
38082;22753;96;25414
37309;22380;47;24653
35861;22739;109;25970
37026;24017;107;24636
36980;23753;49;25160
66909;24251;50;27102
36334;23436;45;24906
43483;51836;132;29881
38931;23105;80;27347
39193;24688;102;25821
35586;23171;46;25476
37460;22067;94;24925
37083;23508;48;25127
36149;23352;45;25650
38437;27866;109;27615
34584;22299;52;24194
36644;23292;46;25396
37141;24468;46;25642
44357;37990;107;26793
36957;23653;43;25648
39072;23868;100;25553
46276;23743;91;25611
36863;23659;96;26067
36944;23857;91;41242
37920;24469;45;25174
35436;23692;46;25409
36695;36601;54;26072
36693;39563;54;48338
36113;24110;47;25624
36573;24128;50;25621
60723;22443;90;23428
37297;24225;44;26174
36701;23514;45;25314
36714;24401;41;26350
36848;23052;89;45266
39341;23885;92;25210
42047;25879;58;27057
39577;30072;111;30643
37720;27048;49;27300
40761;25267;133;28682
144098;25834;93;28671
43541;30611;52;29131
40626;24005;55;25607
40902;34121;92;31579
44407;26465;114;39530
84503;33928;224;33110
48807;29285;54;27178
42111;27947;76;26850
41650;36610;52;34667
38265;28319;45;29116
37126;23824;101;26486
37981;28504;61;46915
49753;24881;93;27254
38163;26069;51;28303
70698;25047;86;27341
51980;79152;507;83886
38405;27228;107;30369
40722;25745;52;31293
39023;25869;51;30967
42041;166168;394;34499
41849;31033;43;30277
43328;36060;101;31415
38843;24684;72;27347
40912;28033;132;29707
41779;27078;53;30509
41375;27376;121;28246
43454;30461;162;30803
38338;36845;109;28465
43949;49379;101;31912
40830;32516;88;30521
47177;29743;46;34009
40235;25796;180;29161
38862;30241;84;28833
80677;30058;89;31906
47299;30265;50;33893
42622;33955;96;29023
41431;27923;105;29198
38212;45072;104;27734
40194;26250;54;29851
46208;34387;104;31929
39354;26773;47;33619
58496;41010;125;41129
75837;29262;61;34962
41036;29591;127;34626
40801;25612;104;28765
39973;26854;97;29521
44182;30370;129;33576
41250;26102;114;29001
39328;27712;62;33922
43276;33448;103;28708
46493;29089;77;35740
39245;28023;99;28642
39188;29741;59;28519
41388;31164;148;30271
39606;26525;103;30418
47996;33199;360;35202
43751;29131;50;28717
40052;29969;91;29170
44463;49440;58;29581
49870;24645;97;36124
38467;28537;90;32512
51871;28054;57;32314
40052;28716;107;46530
39090;27171;262;31318
46784;29620;102;34989
39536;32360;123;30067
38592;28377;112;28550
41413;29182;52;30421
41094;28955;94;31285
38702;28122;49;29541
40565;27548;98;50899
39970;29253;97;31095
40366;27294;63;31494
41068;27987;49;30500
43397;32670;48;30757
45721;26350;88;36566
38360;26091;55;30539
38812;27134;118;29080
39527;32459;47;30186
38388;28938;63;28992
38389;26307;100;31426
39722;25481;81;28870
39371;28002;59;29333
38180;44806;95;29092
41135;27740;89;29701
39170;27335;47;30409
39495;27384;90;30959
38878;27155;46;40570
67336;55640;142;37313
36672;26639;103;28736
39243;42363;89;30368
37264;26516;43;29171
37251;26996;45;29289
36992;26782;47;28704
42012;26445;99;29127
36936;26561;45;29015
57312;27026;82;28842
36137;27662;81;27862
64658;29586;56;45498
36733;26054;48;28556
36839;27453;104;28908
36539;26117;48;29258
36398;45200;47;50425
35598;24655;42;27455
36789;27038;45;29309
39809;43215;98;29006
36178;26213;49;28579
37682;28214;51;29923
36913;27161;82;28455
35510;26607;89;30328
55740;25759;50;30102
36430;26895;58;48234
37114;26635;58;28773
36694;26965;45;29681
36506;27289;54;29486
36894;28026;56;29737
37327;28832;96;29135
35870;26795;94;29288
54775;26340;44;30115
37606;27848;106;50951
36041;27899;79;28948
47689;65356;85;30947
36421;27098;48;30050
36975;27960;102;29139
37823;44819;79;49290
35742;27521;100;30468
43611;44044;47;30087
35882;27909;51;30808
37250;58423;150;55602
37348;27469;49;30272
37709;28475;133;30732
39099;34113;120;34321
46809;27062;138;31143
45698;32357;64;35639
47692;30342;177;37146
122351;44070;222;40397
41628;37793;459;54365
41367;40779;122;35582
51782;42204;102;42515
41852;36378;83;42065
44818;32089;62;32658
39796;32404;89;31518
41816;28858;119;37291
44349;27842;50;39732
43407;33736;52;34371
38766;28910;87;32749
42170;35543;125;46720
41180;30100;102;32670
44043;33804;61;37489
43043;30678;87;33035
40575;31058;54;34105
36519;28350;109;31324
57490;55478;337;55181
43102;41341;60;34001
44107;28932;143;30996
44221;33516;106;36746
49754;37358;45;51011
53373;28303;52;35599
37874;40649;83;31370
39206;29560;95;31238
44386;29853;95;32738
39102;29838;49;31992
41883;29637;57;34596
41031;35823;90;35787
41730;48286;64;59312
37617;30963;138;32241
40705;29394;137;32749
39734;31528;109;32443
37576;29891;101;33016
44777;30873;100;33196
40453;36397;80;34422
47338;31756;87;39274
43813;32786;59;38108
44643;31683;100;33198
47281;30409;90;32427
39275;33166;101;33947
40257;34222;401;37638
50384;40039;94;42891
42198;32541;60;39213
50801;95128;269;43708
38986;29455;104;31850
43590;36040;65;38927
41365;31564;60;36712
42808;35132;115;40994
41907;35972;116;36086
41274;35683;311;44577
37015;30423;108;32197
41993;30190;109;32443
38069;30432;96;32638
41011;34177;138;53174
44846;32690;113;33434
40939;37108;76;35641
42865;38929;353;37496
44734;39570;61;38717
37434;29544;63;32298
41334;38035;44;33387
39082;30197;53;33604
39497;30326;97;33857
38229;35888;58;34555
38075;31521;56;34218
38070;29942;50;33704
38683;31028;77;33933
54120;30888;55;51728
44780;34899;82;34357
40865;31876;54;37966
54034;34318;89;48322
38214;30085;98;33065
41580;31434;93;35512
74586;70680;320;75220
37962;30220;85;33047
38650;30595;58;33796
37717;30504;93;33534
37734;31365;98;33109
48539;32304;87;32694
36707;30189;42;33670
36673;29324;99;32278
35878;28211;55;32089
36746;29742;112;34660
37056;30012;58;33155
36842;30359;94;31659
37033;30477;51;65772
37871;29603;114;31642
37787;29528;44;33885
35808;30183;49;31693
36471;30000;51;33125
55495;30870;48;32994
36663;29851;48;32429
39201;46067;50;32387
36124;31489;48;34226
36236;60334;91;33014
37648;30813;49;32981
38556;30378;53;33692
38673;31310;57;33989
53979;45029;72;33456
46604;36359;1757;62378
36784;31225;93;32806
38339;32023;101;32085
36747;30836;112;33475
39824;31572;104;34104
34193;30029;76;33324
36604;29913;54;40952
37936;50562;188;59470
37362;29007;107;33359
36695;29987;76;31916
38738;31134;96;34197
36092;31057;90;34160
36715;42166;166;33544
37746;30899;117;35359
36457;31052;95;33318
37152;63671;56;32812
36318;31565;49;35145
55552;53540;88;51712
37117;62891;66;33657
37685;31003;110;33604
47181;40913;94;41230
43128;33620;128;35837
41118;34867;84;39976
39370;32889;102;36431
45540;41751;50;41408
39389;45396;71;34659
38802;33037;52;35141
45433;33701;89;36042
68222;58683;55;63049
39130;33100;115;40543
42724;35189;163;44534
40157;36309;102;35690
45288;33120;100;35332
39469;32779;101;38498
40633;38513;157;39392
41540;33397;105;39696
39299;34287;61;36064
37742;34277;53;35347
39683;43055;126;36867
39095;36037;52;37511
42041;36220;95;37664
38590;34092;93;38162
43316;37536;49;38534
38887;31866;335;37715
40664;32692;55;36777
41588;56583;124;40629
40788;34215;103;38915
38113;33838;51;38896
105379;96088;455;83097
46899;37721;99;41655
38891;33617;75;37039
46030;45793;79;39364
39715;59633;98;38975
39928;35677;56;36189
39656;34923;56;37889
37995;33540;100;35514
51998;36678;91;38478
37495;33791;56;36325
40368;32999;59;36686
42145;33211;91;35879
38085;33330;106;37570
58676;35924;95;38175
103008;51504;482;45801
42929;35468;90;39591
38933;48354;60;37291
43584;34563;103;37435
38583;33743;104;35929
39105;33684;49;37247
39978;35064;89;37700
41963;40455;51;51202
38640;34737;107;36262
37287;32654;50;38072
39470;34817;145;37530
43918;43414;124;37935
38618;34709;101;36608
39642;34875;53;38998
41801;33923;57;37242
36725;44069;91;36396
39960;37272;50;37404
40710;34664;113;37097
56210;34692;89;37553
38401;33708;115;36068
40200;36047;113;37859
38275;35742;87;38074
38699;32456;56;36181
39219;36012;87;37895
39079;33562;146;37252
39382;33108;65;37779
40244;36906;59;39374
37182;34125;52;37489
74425;53532;118;48161
37209;33697;76;37144
39015;35703;99;38747
38146;34942;99;37952
39019;36877;103;38182
38955;36602;101;40677
54072;32717;48;36082
43878;38924;123;44429
39145;37542;91;37701
41382;34326;109;36356
35826;32999;90;37955
38946;34479;78;37010
38334;34833;95;38726
40107;45846;78;37955
53028;34391;52;37684
37076;69198;79;47066
37755;34244;112;38474
38404;68891;106;46288
37568;36399;125;37465
39875;36704;99;37985
35783;34282;95;66239
37660;33244;101;36409
37554;35710;53;38160
54587;57360;93;46844
38055;35103;102;37692
38546;34991;385;43501
38058;45218;87;37733
38228;34397;132;36524
37863;34275;82;36839
36942;49625;88;37300
37742;33392;91;36252
36533;33014;49;36997
67534;33427;107;36724
37454;34819;59;36700
36274;34094;76;36403
63505;60987;52;64669
56805;50050;62;55611
36055;32490;97;35851
37564;33765;47;38024
36820;35734;54;37169
36432;34753;120;37184
38898;64615;57;42422
39162;35526;180;38596
40777;38808;117;38629
48875;67458;48;37212
37613;34745;54;37843
37361;34296;169;37478
36373;34200;94;36447
49797;34723;45;37399
37285;34487;123;37961
36797;59378;119;42077
37476;34404;57;37471
37188;33742;91;36365
36345;36331;85;38001
35661;34045;80;37080
37694;52500;53;38387
50391;40076;58;45021
35589;34943;50;36822
36468;35887;100;38591
60508;41061;104;45605
40654;37540;86;39164
37645;35618;89;40046
40614;35821;53;39102
39315;37290;63;40446
39722;36152;732;56757
37092;36564;102;38646
41518;36039;84;39157
40205;35544;76;39196
43368;37796;60;40991
41232;38340;115;42711
39114;36551;100;39911
39619;36429;54;40054
39152;36936;111;39472
72375;44254;275;43975
37872;41651;97;38857
39592;36846;100;39969
39633;37565;87;39897
40836;36679;75;41020
39534;36570;98;41840
37395;38660;116;39330
67184;60402;118;58728
39575;35019;121;38680
54799;37941;64;39830
40417;38525;145;42056
38120;35937;92;40318
42531;43261;144;50162
37935;37293;92;41531
39975;36175;107;40465
39389;36571;103;40773
39939;41543;94;41732
43683;35394;102;39726
36724;38151;103;40026
38697;40941;108;41783
38607;37248;86;41629
38851;40065;102;42139
39409;38582;106;45408
39734;70792;101;40286
38594;50524;103;41503
40075;40525;65;44115
38435;37033;100;41627
38796;37630;90;41289
38187;38805;121;40732
91099;42070;49;44591
38863;36614;88;42216
40259;38367;134;40205
37234;36484;55;39749
38023;37671;61;39620
40585;41346;221;44728
40134;36974;84;39819
39680;39041;110;42323
47553;38421;136;42636
40977;40835;123;43183
38320;38705;55;40796
45277;47920;97;43427
41293;39355;98;41281
42319;38620;84;43263
43747;40738;97;43817
40704;44431;64;44023
38736;43871;245;47331
40626;39403;55;43860
39383;38208;102;42077
40911;40764;101;43198
43706;43503;88;48169
40988;41095;219;41917
38262;39109;97;41314
78805;38842;93;43276
40647;39750;110;42635
38308;37638;92;42791
64300;42495;100;43196
37684;38055;90;41042
40330;38334;57;42158
38157;38371;60;42624
39929;47155;96;44601
39590;37812;97;41089
39666;40358;84;43584
41700;36368;66;40379
38452;39275;98;42596
39638;39138;123;42301
41140;39189;93;41457
37462;37824;101;40841
39443;49073;126;52809
39844;39735;102;43442
38101;38808;86;43770
38335;38401;65;42485
48515;58840;52;40939
45452;41005;88;45262
36988;37654;61;41959
37686;37129;57;40444
37405;37807;55;39580
36026;36512;54;39689
37280;39255;50;40791
46807;43762;75;56689
36268;37723;48;40476
74179;45786;88;57462
94384;65013;85;68000
115027;67776;88;68834
118436;65430;68;68460
94016;65478;96;67997
70651;41972;94;53957
74716;41512;53;46370
71879;68771;91;47245
73496;54488;93;48565
76020;45516;57;48171
72822;44416;93;48212
73808;71267;131;50178
73872;45103;116;49073
72675;45996;59;47180
77026;45009;101;48220
77835;46094;134;48447
80442;58137;69;47828
77970;43406;126;52046
78081;48047;98;53214
92338;43716;95;47481
77025;98750;93;48275
76543;48067;87;52915
74310;45497;135;50206
80016;45947;62;51934
74071;42348;61;47397
79086;47385;120;51149
73802;44369;119;48232
80403;47196;85;57419
78765;55080;99;57261
93508;45661;91;57230
79353;44947;135;55282
79073;49082;84;53297
80355;49379;106;53742
79606;72384;65;52500
145723;104314;396;66808
83029;49795;109;54324
78770;48057;120;50995
81036;48454;135;52268
147435;101126;386;78921
78566;48003;122;52647
79150;45349;91;50023
79601;51638;68;54337
78278;53020;117;56690
79038;50448;94;54839
98769;51685;110;57190
96496;47832;109;51483
79931;74576;179;54421
77919;49343;125;62178
81216;47662;563;59812
77189;64306;94;55156
84785;47771;112;55629
79540;50714;114;65165
80329;48374;107;50623
78006;48642;76;52160
78391;49463;61;53644
78107;49600;100;52956
85673;47741;109;53671
75113;47719;60;51237
75315;45824;100;50075
74448;61993;85;49580
75918;46067;399;72677
75048;44135;93;48294
74209;47458;63;80635
75569;45688;80;50991
72475;45819;57;49781
71217;46099;85;48802
73462;45068;98;47963
76849;46390;80;49684
74535;45118;102;51384
75863;45955;96;52472
85742;47876;54;51939
72602;44487;45;49150
72902;46125;99;49833
74265;45812;94;51517
73996;45181;99;50226
73259;46397;95;51007
72926;44448;52;50092
74019;82703;59;68452
74516;48030;95;52027
90816;47141;82;51458
74635;47575;17307;74829
74957;46754;88;52361
75481;44946;111;75001
73045;50895;58;48100
74219;44859;125;48055
72205;47256;141;98987
74429;46852;106;50466
117205;49714;75;66363
87642;47067;86;50639
81676;53781;158;61107
75325;48276;97;51545
80032;54448;72;58415
79413;47554;181;52852
91526;53017;146;98043
76445;43874;117;49886
78074;53050;107;80821
77743;48937;119;54020
79626;50053;80;52404
77601;52808;107;54974
87446;46392;140;50673
79266;50373;111;53238
78232;51320;91;53722
95978;66506;153;94052
84664;52327;122;61966
79102;84770;98;55546
81153;50470;86;55779
78972;48286;104;52135
77808;57082;123;52778
78170;49530;63;78310
74811;49879;62;55631
99022;199775;875;106202
110320;51588;216;55647
81089;51713;159;58553
77869;49932;97;54921
88866;227826;767;97188
87014;50721;152;58866
78932;53053;102;57814
77902;51239;330;55140
79981;51806;106;53086
87119;54410;141;61382
81446;50126;111;67384
75896;48333;76;82230
93670;60351;307;159118
91376;80308;114;54886
77891;50318;120;57329
76202;47247;59;51247
74989;47683;227;51950
75475;48701;62;52137
78598;50555;89;53709
110423;72979;73;53157
92250;62245;96;56789
213208;65738;122;54593
76544;47315;271;51255
75688;49244;56;53162
75029;46993;68;76185
72436;44778;57;70723
74566;49060;96;52027
74970;49651;104;52954
76125;49205;59;54888
74980;47879;162;82090
78439;48344;114;53136
111161;54295;89;68299
72077;47437;116;52884
77183;49445;77;53947
75740;50277;93;54250
76163;51121;105;54334
76702;51324;98;53213
75715;50396;73;54418
74503;46951;67;73227
71627;47212;91;53879
74231;47978;89;53300
73431;48025;99;52213
73894;48953;59;53221
74383;48076;58;52565
73457;48920;58;53308
72888;48544;87;52274
113728;46818;101;51562
72935;49245;94;53782
72752;48652;56;60864
72810;48647;102;83901
73530;49218;98;53201
93876;55156;129;62578
86593;59382;85;65573
85557;52707;100;69327
85198;53123;77;56622
82427;50672;117;54342
78913;56379;93;61584
82541;52693;60;60631
78576;53445;68;55890
83457;50900;111;56551
80917;51746;117;56823
79520;52344;243;57972
79656;52996;109;58327
83075;51964;120;55856
95478;63536;374;175829
79957;55267;107;65710
