Texas Holdum
Cards;Chance
[Jack of Spades, 3 of Clubs, Jack of Spades, 3 of Clubs]0.0
[4 of Diamonds, 10 of Spades, 4 of Diamonds, 9 of Hearts]20.0
[8 of Hearts, 5 of Diamonds, 8 of Hearts, 2 of Spades]14.000000000000002
[Jack of Diamonds, 10 of Diamonds, Jack of Diamonds, Ace of Spades]33.0
[Ace of Clubs, 10 of Diamonds, 10 of Diamonds, 3 of Spades]28.999999999999996
[2 of Clubs, 3 of Clubs, 3 of Clubs, 5 of Clubs]24.0
[2 of Clubs, 3 of Clubs, 3 of Clubs, 6 of Clubs]14.000000000000002
[7 of Spades, 3 of Spades, 3 of Spades, King of Clubs]31.0
[7 of Spades, 8 of Spades, 8 of Spades, 3 of Hearts]52.0
[10 of Clubs, Jack of Diamonds, Jack of Diamonds, 3 of Clubs]30.0
[9 of Diamonds, 4 of Hearts, 4 of Hearts, 7 of Diamonds]24.0
[6 of Clubs, Ace of Diamonds, Ace of Diamonds, Queen of Clubs]21.0
[Queen of Spades, 6 of Clubs, 6 of Clubs, Jack of Hearts]24.0
[4 of Hearts, King of Hearts, King of Hearts, 2 of Hearts]15.0
[6 of Spades, 6 of Diamonds, 7 of Spades, King of Clubs]36.0
[10 of Hearts, Queen of Hearts, Queen of Hearts, 8 of Diamonds]39.0
[7 of Hearts, Queen of Hearts, Queen of Hearts, 3 of Spades]46.0
[King of Clubs, 8 of Clubs, 8 of Clubs, 4 of Diamonds]34.0
[2 of Hearts, 8 of Spades, 8 of Spades, 7 of Hearts]17.0
[10 of Clubs, Queen of Clubs, Queen of Clubs, Ace of Diamonds]38.0
[King of Diamonds, 9 of Spades, 9 of Spades, 2 of Diamonds]42.0
[7 of Spades, 9 of Spades, 9 of Spades, 4 of Hearts]51.0
[6 of Diamonds, Queen of Clubs, Queen of Clubs, 5 of Hearts]25.0
[9 of Clubs, 4 of Clubs, 4 of Clubs, 10 of Diamonds]14.000000000000002
[2 of Hearts, 8 of Spades, 8 of Spades, Ace of Spades]26.0
[4 of Hearts, 2 of Clubs, 2 of Clubs, Queen of Spades]28.999999999999996
[3 of Diamonds, Queen of Clubs, Queen of Clubs, Jack of Spades]13.0
[2 of Clubs, 3 of Clubs, 3 of Clubs, Ace of Diamonds]34.0
[8 of Hearts, 7 of Hearts, 7 of Hearts, Jack of Spades]39.0
[King of Hearts, King of Spades, King of Spades, 8 of Clubs]84.0
[10 of Spades, 6 of Spades, 6 of Spades, 9 of Hearts]41.0
[10 of Hearts, 2 of Clubs, 2 of Clubs, 7 of Diamonds]26.0
[Queen of Diamonds, 6 of Hearts, 6 of Hearts, Ace of Diamonds]17.0
[Queen of Clubs, 9 of Diamonds, 9 of Diamonds, 10 of Hearts]30.0
[9 of Spades, 10 of Diamonds, 10 of Diamonds, Ace of Spades]37.0
[Queen of Spades, 3 of Hearts, 3 of Hearts, Queen of Clubs]4.0
[3 of Hearts, Queen of Spades, Queen of Spades, Ace of Spades]16.0
[9 of Spades, King of Hearts, King of Hearts, 9 of Hearts]3.0
[10 of Hearts, Queen of Diamonds, Queen of Diamonds, Ace of Clubs]26.0
[Ace of Spades, Jack of Clubs, Jack of Clubs, 5 of Diamonds]40.0
[5 of Spades, 9 of Clubs, 9 of Clubs, 10 of Hearts]26.0
[8 of Diamonds, 6 of Diamonds, 6 of Diamonds, Queen of Clubs]36.0
[10 of Hearts, 7 of Spades, 7 of Spades, 10 of Spades]4.0
[Queen of Spades, Jack of Clubs, Jack of Clubs, 9 of Hearts]35.0
[3 of Spades, 5 of Spades, 5 of Spades, 3 of Diamonds]12.0
[2 of Spades, 9 of Diamonds, 9 of Diamonds, Queen of Hearts]14.000000000000002
[10 of Clubs, 4 of Diamonds, 4 of Diamonds, Jack of Spades]17.0
[Ace of Clubs, Queen of Spades, Queen of Spades, 4 of Hearts]42.0
[Queen of Clubs, 9 of Hearts, 9 of Hearts, 9 of Spades]31.0
[3 of Diamonds, Ace of Hearts, Ace of Hearts, King of Clubs]23.0
[4 of Diamonds, Jack of Diamonds, 4 of Hearts, 9 of Hearts]26.0
[2 of Clubs, 3 of Clubs, 4 of Clubs, 6 of Clubs]34.0
[Ace of Diamonds, 4 of Spades, King of Hearts, 6 of Spades]40.0
[Jack of Diamonds, King of Clubs, 7 of Clubs, 7 of Diamonds]56.99999999999999
[2 of Clubs, 3 of Clubs, 4 of Clubs, 9 of Clubs]32.0
[9 of Diamonds, King of Hearts, Ace of Diamonds, Queen of Diamonds]30.0
[10 of Spades, 3 of Spades, 2 of Diamonds, Queen of Hearts]61.0
[Ace of Diamonds, 3 of Spades, 5 of Hearts, 4 of Diamonds]40.0
[2 of Clubs, 3 of Clubs, 4 of Clubs, King of Clubs]25.0
[2 of Clubs, 3 of Clubs, 4 of Clubs, Ace of Clubs]32.0
[2 of Clubs, 3 of Clubs, 4 of Clubs, 2 of Diamonds]33.0
[Queen of Hearts, 7 of Diamonds, 3 of Spades, Ace of Hearts]42.0
[5 of Spades, 4 of Hearts, 7 of Hearts, 3 of Spades]31.0
[6 of Clubs, Ace of Hearts, 10 of Hearts, Jack of Spades]40.0
[Queen of Hearts, 6 of Diamonds, 9 of Diamonds, 8 of Diamonds]39.0
[Ace of Spades, 2 of Clubs, 5 of Diamonds, Queen of Hearts]25.0
[9 of Clubs, 6 of Spades, 3 of Spades, King of Clubs]36.0
[Queen of Hearts, 10 of Spades, 2 of Hearts, Ace of Diamonds]53.0
[Ace of Spades, Ace of Diamonds, 2 of Hearts, Jack of Spades]78.0
[9 of Hearts, Queen of Hearts, 6 of Clubs, Ace of Spades]47.0
[Queen of Clubs, 5 of Spades, 7 of Spades, 10 of Hearts]46.0
[6 of Clubs, King of Diamonds, 5 of Hearts, Queen of Hearts]38.0
[Ace of Spades, 5 of Spades, 2 of Diamonds, 3 of Spades]44.0
[2 of Clubs, 3 of Clubs, 4 of Clubs, 2 of Hearts]28.000000000000004
[4 of Diamonds, 5 of Spades, 3 of Spades, King of Hearts]31.0
[Ace of Clubs, 3 of Spades, 9 of Spades, 2 of Hearts]46.0
[Ace of Hearts, Queen of Clubs, 9 of Clubs, Jack of Spades]36.0
[Ace of Spades, 7 of Spades, 6 of Spades, Jack of Diamonds]51.0
[2 of Diamonds, 5 of Diamonds, 8 of Hearts, 2 of Hearts]22.0
[8 of Spades, King of Hearts, 6 of Hearts, 6 of Clubs]48.0
[Queen of Clubs, Ace of Diamonds, 5 of Diamonds, King of Diamonds]54.0
[10 of Spades, Jack of Spades, 5 of Spades, 8 of Hearts]50.0
[10 of Spades, Ace of Hearts, 5 of Clubs, 4 of Spades]52.0
[Jack of Diamonds, 4 of Diamonds, 8 of Clubs, 5 of Clubs]39.0
[8 of Clubs, Jack of Clubs, 5 of Hearts, 9 of Spades]51.0
[King of Hearts, 10 of Hearts, 2 of Hearts, 10 of Diamonds]37.0
[Ace of Spades, 7 of Spades, 5 of Diamonds, 6 of Spades]49.0
[Jack of Spades, Queen of Diamonds, 5 of Clubs, 4 of Hearts]52.0
[Queen of Clubs, 6 of Hearts, 5 of Clubs, Jack of Diamonds]42.0
[5 of Clubs, 5 of Hearts, Queen of Clubs, 10 of Diamonds]41.0
[4 of Clubs, 8 of Clubs, 5 of Clubs, 10 of Spades]39.0
[Jack of Hearts, 9 of Spades, 2 of Hearts, King of Hearts]41.0
[9 of Spades, 8 of Hearts, Queen of Hearts, 7 of Diamonds]48.0
[6 of Clubs, 8 of Spades, 5 of Spades, 7 of Spades]43.0
[Jack of Hearts, 7 of Clubs, 6 of Hearts, 10 of Spades]49.0
[2 of Clubs, 3 of Clubs, 5 of Clubs, 6 of Clubs]39.0
[2 of Clubs, 3 of Clubs, 5 of Clubs, 7 of Clubs]22.0
[2 of Clubs, 3 of Clubs, 5 of Clubs, 8 of Clubs]32.0
[2 of Clubs, 3 of Clubs, 5 of Clubs, 9 of Clubs]31.0
[3 of Diamonds, King of Hearts, 2 of Clubs, 2 of Hearts]37.0
[9 of Spades, 5 of Spades, 9 of Hearts, 9 of Diamonds]20.0
[2 of Clubs, 3 of Clubs, 5 of Clubs, Queen of Clubs]24.0
[4 of Clubs, 2 of Spades, 10 of Clubs, Jack of Clubs]25.0
[8 of Hearts, 4 of Diamonds, 2 of Hearts, 10 of Diamonds]53.0
[10 of Hearts, 7 of Spades, 5 of Clubs, Queen of Spades]47.0
[7 of Clubs, 5 of Clubs, 6 of Spades, 4 of Hearts]48.0
[5 of Spades, 9 of Spades, Ace of Hearts, 4 of Diamonds]49.0
[8 of Hearts, 6 of Spades, 8 of Clubs, 4 of Spades]28.000000000000004
[Jack of Clubs, Queen of Diamonds, Jack of Hearts, 3 of Diamonds]52.0
[7 of Diamonds, 6 of Hearts, 5 of Clubs, 2 of Spades]52.0
[King of Clubs, 6 of Diamonds, 3 of Hearts, 4 of Spades]51.0
[Ace of Diamonds, 5 of Hearts, 9 of Spades, 2 of Spades]36.0
[8 of Hearts, 9 of Hearts, 2 of Diamonds, Jack of Hearts]53.0
[3 of Spades, 9 of Clubs, 2 of Diamonds, Ace of Diamonds]31.0
[10 of Spades, King of Diamonds, Jack of Spades, 5 of Hearts]57.99999999999999
[4 of Hearts, Jack of Spades, 10 of Spades, King of Diamonds]32.0
[King of Diamonds, 6 of Clubs, 6 of Hearts, King of Hearts]3.0
[2 of Hearts, King of Clubs, 8 of Hearts, 2 of Clubs]33.0
[King of Diamonds, Ace of Clubs, 6 of Diamonds, King of Spades]28.000000000000004
[4 of Hearts, 9 of Clubs, 6 of Diamonds, 9 of Diamonds]21.0
[2 of Spades, King of Clubs, Jack of Spades, 3 of Spades]40.0
[Ace of Spades, 7 of Clubs, Jack of Diamonds, Queen of Clubs]28.000000000000004
[2 of Spades, Queen of Hearts, 10 of Clubs, 7 of Hearts]39.0
[8 of Spades, 9 of Spades, 6 of Hearts, 9 of Hearts]42.0
[Ace of Spades, Jack of Hearts, King of Clubs, 7 of Diamonds]47.0
[6 of Hearts, King of Hearts, Queen of Hearts, 8 of Spades]40.0
[Queen of Diamonds, 6 of Clubs, 2 of Clubs, 10 of Hearts]46.0
[6 of Spades, 2 of Clubs, 4 of Diamonds, 3 of Clubs]22.0
[5 of Clubs, 9 of Diamonds, 7 of Hearts, King of Spades]43.0
[4 of Diamonds, 3 of Diamonds, 3 of Clubs, Jack of Diamonds]33.0
[Queen of Hearts, 4 of Diamonds, 7 of Clubs, 6 of Spades]35.0
[5 of Clubs, 4 of Hearts, 5 of Spades, 8 of Diamonds]27.0
[Ace of Clubs, 10 of Spades, 4 of Spades, 6 of Diamonds]53.0
[8 of Diamonds, Jack of Diamonds, Jack of Hearts, 5 of Diamonds]48.0
[5 of Diamonds, 2 of Diamonds, Queen of Diamonds, Jack of Clubs]25.0
[Ace of Clubs, 3 of Clubs, Queen of Spades, 10 of Clubs]46.0
[8 of Spades, Jack of Diamonds, 10 of Clubs, 8 of Clubs]17.0
[2 of Spades, 4 of Diamonds, 8 of Hearts, 6 of Clubs]40.0
[10 of Diamonds, 5 of Hearts, 5 of Clubs, 4 of Spades]41.0
[3 of Hearts, Queen of Diamonds, 3 of Diamonds, 6 of Hearts]34.0
[5 of Spades, 3 of Hearts, 2 of Spades, 3 of Clubs]34.0
[Jack of Hearts, Ace of Hearts, 5 of Diamonds, 2 of Diamonds]52.0
[3 of Spades, 8 of Hearts, 10 of Hearts, Ace of Diamonds]26.0
[Jack of Hearts, 7 of Diamonds, 10 of Spades, Queen of Spades]30.0
[8 of Hearts, 9 of Spades, 7 of Hearts, King of Hearts]40.0
[7 of Hearts, 3 of Clubs, 6 of Clubs, King of Clubs]32.0
[10 of Hearts, King of Spades, 5 of Clubs, 9 of Diamonds]52.0
[3 of Spades, Queen of Spades, Ace of Diamonds, 7 of Hearts]45.0
[8 of Spades, Queen of Diamonds, 7 of Diamonds, King of Hearts]39.0
[2 of Clubs, 10 of Hearts, 6 of Clubs, 4 of Diamonds]32.0
[7 of Diamonds, 5 of Clubs, 10 of Hearts, 3 of Spades]49.0
[Jack of Clubs, 3 of Hearts, 9 of Diamonds, Jack of Diamonds]24.0
[10 of Hearts, King of Hearts, Jack of Spades, 8 of Hearts]61.0
[Queen of Spades, Jack of Spades, 10 of Hearts, 9 of Clubs]68.0
[King of Diamonds, 3 of Diamonds, 7 of Spades, 4 of Spades]42.0
[Ace of Hearts, 4 of Clubs, Jack of Hearts, Jack of Clubs]21.0
[Ace of Hearts, 9 of Spades, Ace of Diamonds, Jack of Diamonds]22.0
[5 of Hearts, 2 of Spades, Queen of Hearts, Ace of Clubs]46.0
[Jack of Spades, 4 of Spades, 10 of Clubs, Ace of Diamonds]48.0
[Queen of Spades, 4 of Spades, 8 of Spades, Jack of Spades]48.0
[5 of Diamonds, 6 of Spades, 8 of Spades, 3 of Spades]48.0
[Jack of Clubs, 5 of Clubs, 5 of Diamonds, 6 of Clubs]37.0
[2 of Clubs, 3 of Clubs, 6 of Clubs, 4 of Hearts]47.0
[King of Clubs, 2 of Diamonds, 5 of Hearts, 7 of Diamonds]36.0
[King of Diamonds, 8 of Clubs, 2 of Hearts, Ace of Clubs]47.0
[Jack of Hearts, King of Spades, Queen of Spades, 5 of Diamonds]63.0
[10 of Clubs, Ace of Diamonds, 10 of Hearts, 5 of Clubs]38.0
[10 of Hearts, Queen of Clubs, 6 of Diamonds, Jack of Hearts]46.0
[8 of Diamonds, 4 of Diamonds, King of Clubs, Jack of Spades]33.0
[Jack of Hearts, 6 of Clubs, Queen of Spades, 10 of Clubs]26.0
[5 of Spades, 6 of Diamonds, 2 of Spades, 10 of Hearts]52.0
[5 of Spades, Ace of Clubs, Jack of Clubs, 10 of Spades]39.0
[7 of Clubs, King of Spades, Ace of Diamonds, King of Clubs]33.0
[3 of Hearts, 5 of Spades, 7 of Hearts, Ace of Hearts]20.0
[5 of Hearts, 4 of Spades, Queen of Clubs, 3 of Spades]56.00000000000001
[4 of Spades, 10 of Clubs, Queen of Diamonds, 10 of Spades]23.0
[2 of Clubs, 3 of Clubs, 6 of Clubs, 5 of Spades]26.0
[10 of Spades, 6 of Clubs, 2 of Diamonds, 5 of Spades]46.0
[8 of Spades, 10 of Hearts, 9 of Clubs, 3 of Spades]51.0
[8 of Spades, 2 of Spades, 7 of Diamonds, Queen of Hearts]44.0
[Ace of Hearts, King of Hearts, 8 of Clubs, 10 of Diamonds]56.00000000000001
[2 of Clubs, 3 of Clubs, 6 of Clubs, 10 of Spades]34.0
[2 of Spades, Ace of Hearts, 3 of Spades, 8 of Clubs]47.0
[10 of Hearts, 8 of Diamonds, 9 of Diamonds, 2 of Spades]39.0
[King of Spades, Jack of Hearts, 3 of Hearts, 8 of Hearts]44.0
[7 of Clubs, Jack of Diamonds, 9 of Spades, 10 of Spades]35.0
[3 of Diamonds, King of Clubs, 5 of Spades, Ace of Clubs]34.0
[9 of Spades, Jack of Hearts, 6 of Hearts, 9 of Spades]25.0
[9 of Diamonds, 7 of Clubs, 9 of Spades, 7 of Diamonds]0.0
[8 of Spades, Jack of Diamonds, Queen of Hearts, Queen of Clubs]36.0
[5 of Spades, 6 of Hearts, 4 of Hearts, 3 of Spades]26.0
[4 of Hearts, 9 of Hearts, Queen of Diamonds, 3 of Spades]43.0
[10 of Spades, 5 of Diamonds, 5 of Hearts, 3 of Clubs]41.0
[7 of Hearts, 4 of Diamonds, 7 of Spades, 10 of Diamonds]19.0
[2 of Hearts, 8 of Diamonds, 3 of Spades, 4 of Spades]39.0
[Jack of Diamonds, 8 of Clubs, Ace of Clubs, 8 of Diamonds]33.0
[8 of Hearts, 5 of Diamonds, King of Clubs, 6 of Clubs]32.0
[King of Spades, Ace of Hearts, 2 of Spades, Jack of Hearts]59.0
[4 of Diamonds, Ace of Diamonds, 2 of Hearts, 7 of Hearts]40.0
[2 of Spades, 3 of Clubs, 7 of Clubs, 2 of Clubs]23.0
[9 of Spades, 10 of Clubs, 6 of Hearts, 2 of Spades]55.00000000000001
[8 of Hearts, 9 of Hearts, 4 of Spades, 3 of Clubs]56.99999999999999
[4 of Diamonds, 7 of Clubs, Ace of Clubs, 3 of Spades]37.0
[2 of Clubs, 5 of Diamonds, 4 of Diamonds, Jack of Clubs]39.0
[4 of Spades, 10 of Diamonds, King of Hearts, 6 of Spades]44.0
[2 of Spades, 7 of Diamonds, 9 of Clubs, 9 of Spades]28.000000000000004
[6 of Clubs, Jack of Diamonds, 7 of Clubs, Ace of Clubs]53.0
[6 of Clubs, 3 of Clubs, 4 of Diamonds, 7 of Hearts]13.0
[2 of Hearts, 8 of Diamonds, 7 of Diamonds, 5 of Diamonds]24.0
[8 of Spades, 9 of Diamonds, 5 of Diamonds, 7 of Hearts]56.99999999999999
[3 of Clubs, Ace of Diamonds, 5 of Diamonds, 8 of Hearts]31.0
[Jack of Clubs, 5 of Diamonds, Jack of Diamonds, 7 of Spades]18.0
[6 of Diamonds, 8 of Hearts, 7 of Spades, 3 of Diamonds]45.0
[2 of Clubs, 3 of Clubs, 7 of Clubs, King of Hearts]28.000000000000004
[King of Hearts, 10 of Hearts, 7 of Hearts, King of Diamonds]24.0
[5 of Clubs, 10 of Hearts, Jack of Spades, Queen of Diamonds]31.0
[6 of Spades, 7 of Spades, Ace of Spades, 3 of Diamonds]62.0
[10 of Hearts, 3 of Clubs, 7 of Clubs, 6 of Spades]26.0
[Queen of Hearts, 10 of Spades, King of Clubs, 5 of Diamonds]54.0
[King of Spades, 3 of Clubs, 9 of Hearts, 6 of Spades]52.0
[10 of Spades, King of Spades, 3 of Diamonds, 9 of Hearts]55.00000000000001
[7 of Diamonds, Queen of Diamonds, 10 of Hearts, 7 of Spades]40.0
[6 of Diamonds, Jack of Hearts, 10 of Hearts, 6 of Clubs]22.0
[King of Clubs, 4 of Hearts, 10 of Hearts, Ace of Clubs]40.0
[6 of Spades, 4 of Hearts, 8 of Hearts, 3 of Diamonds]39.0
[Queen of Clubs, 8 of Hearts, 9 of Diamonds, 2 of Spades]60.0
[Jack of Spades, 4 of Hearts, 5 of Diamonds, Ace of Diamonds]43.0
[King of Hearts, 9 of Diamonds, 3 of Spades, 3 of Hearts]60.0
[7 of Clubs, 2 of Diamonds, Jack of Hearts, 6 of Hearts]34.0
[2 of Hearts, 5 of Diamonds, 6 of Hearts, 2 of Spades]21.0
[6 of Clubs, Jack of Clubs, Jack of Hearts, King of Clubs]21.0
[8 of Clubs, 3 of Diamonds, 9 of Diamonds, 5 of Hearts]20.0
[Queen of Clubs, Jack of Diamonds, 10 of Clubs, 7 of Diamonds]55.00000000000001
[2 of Spades, 4 of Hearts, 3 of Diamonds, Ace of Spades]40.0
[5 of Clubs, King of Spades, 6 of Clubs, 2 of Spades]36.0
[6 of Diamonds, King of Spades, 8 of Clubs, 2 of Diamonds]40.0
[5 of Spades, Jack of Diamonds, 8 of Hearts, 10 of Hearts]28.999999999999996
[7 of Spades, Queen of Diamonds, Jack of Clubs, 9 of Clubs]30.0
[Jack of Clubs, 4 of Spades, 9 of Spades, 8 of Spades]30.0
[5 of Spades, 10 of Spades, King of Diamonds, 8 of Diamonds]38.0
[2 of Clubs, 8 of Clubs, 5 of Diamonds, 8 of Spades]31.0
[Ace of Diamonds, 4 of Spades, 8 of Clubs, King of Diamonds]51.0
[2 of Spades, 8 of Hearts, 4 of Spades, 8 of Spades]31.0
[6 of Spades, Jack of Diamonds, Ace of Clubs, 7 of Diamonds]28.999999999999996
[9 of Diamonds, 7 of Diamonds, 7 of Spades, 3 of Hearts]41.0
[4 of Hearts, 8 of Diamonds, Queen of Clubs, Ace of Diamonds]45.0
[Jack of Diamonds, 8 of Clubs, King of Hearts, 7 of Clubs]35.0
[King of Clubs, 3 of Clubs, 8 of Clubs, 3 of Spades]59.0
[2 of Clubs, 3 of Clubs, 8 of Clubs, 7 of Hearts]24.0
[5 of Spades, 8 of Clubs, Jack of Hearts, 3 of Diamonds]35.0
[Jack of Spades, 3 of Clubs, 8 of Clubs, 9 of Hearts]33.0
[2 of Clubs, 3 of Clubs, 8 of Clubs, 10 of Hearts]27.0
[King of Clubs, Jack of Hearts, Ace of Clubs, 3 of Clubs]50.0
[2 of Clubs, 3 of Clubs, 8 of Clubs, Queen of Hearts]33.0
[9 of Diamonds, King of Hearts, 4 of Clubs, Ace of Diamonds]55.00000000000001
[5 of Hearts, 7 of Hearts, Jack of Clubs, Ace of Hearts]39.0
[6 of Diamonds, 3 of Clubs, 9 of Diamonds, 2 of Spades]44.0
[3 of Diamonds, Ace of Spades, 8 of Clubs, 3 of Spades]60.0
[2 of Clubs, 3 of Clubs, 8 of Clubs, 4 of Spades]45.0
[Jack of Hearts, Queen of Hearts, 7 of Spades, 9 of Diamonds]48.0
[2 of Clubs, 3 of Clubs, 8 of Clubs, 6 of Spades]39.0
[Ace of Spades, 6 of Hearts, Queen of Hearts, 4 of Hearts]50.0
[2 of Clubs, 3 of Clubs, 8 of Clubs, 8 of Spades]17.0
[Jack of Clubs, 8 of Hearts, 10 of Hearts, 5 of Diamonds]43.0
[8 of Hearts, 6 of Clubs, Queen of Hearts, 10 of Clubs]32.0
[King of Clubs, 4 of Diamonds, Queen of Spades, 6 of Hearts]44.0
[7 of Hearts, 4 of Hearts, 9 of Spades, Jack of Diamonds]27.0
[Ace of Hearts, King of Hearts, 7 of Clubs, Ace of Clubs]40.0
[Jack of Clubs, 4 of Clubs, 8 of Spades, 3 of Clubs]34.0
[Queen of Clubs, 3 of Hearts, 4 of Clubs, Ace of Clubs]36.0
[2 of Diamonds, 8 of Diamonds, 8 of Hearts, 6 of Diamonds]20.0
[6 of Diamonds, 5 of Diamonds, Ace of Spades, 8 of Diamonds]32.0
[5 of Clubs, King of Clubs, Ace of Diamonds, 4 of Hearts]44.0
[8 of Clubs, Jack of Clubs, 2 of Diamonds, 5 of Hearts]57.99999999999999
[2 of Diamonds, King of Clubs, 2 of Spades, Jack of Hearts]27.0
[3 of Diamonds, 9 of Diamonds, 3 of Clubs, 10 of Diamonds]19.0
[3 of Diamonds, 7 of Clubs, 6 of Clubs, 8 of Diamonds]25.0
[2 of Clubs, 3 of Clubs, 9 of Clubs, 9 of Diamonds]21.0
[2 of Clubs, 10 of Spades, 9 of Clubs, 10 of Diamonds]34.0
[9 of Spades, 7 of Hearts, 9 of Clubs, Jack of Diamonds]34.0
[2 of Clubs, 3 of Clubs, 9 of Clubs, Queen of Diamonds]27.0
[2 of Clubs, 8 of Spades, 4 of Spades, King of Diamonds]51.0
[7 of Diamonds, 4 of Spades, King of Hearts, 7 of Hearts]25.0
[2 of Clubs, 3 of Clubs, 9 of Clubs, 2 of Hearts]33.0
[Jack of Clubs, Jack of Spades, 10 of Hearts, 8 of Clubs]70.0
[6 of Diamonds, Jack of Diamonds, King of Diamonds, Jack of Spades]34.0
[3 of Spades, 4 of Diamonds, Queen of Clubs, 9 of Hearts]48.0
[9 of Hearts, 8 of Diamonds, 4 of Hearts, 2 of Spades]56.99999999999999
[2 of Clubs, 3 of Clubs, 9 of Clubs, 7 of Hearts]18.0
[Ace of Clubs, 7 of Spades, 8 of Spades, 3 of Diamonds]49.0
[6 of Spades, 3 of Clubs, Jack of Diamonds, 2 of Diamonds]41.0
[2 of Clubs, 3 of Clubs, 5 of Spades, 10 of Hearts]41.0
[6 of Diamonds, 8 of Hearts, Ace of Clubs, Jack of Hearts]41.0
[Ace of Clubs, 10 of Diamonds, Queen of Hearts, Queen of Diamonds]28.000000000000004
[Ace of Hearts, 6 of Clubs, Queen of Clubs, King of Hearts]25.0
[2 of Clubs, 10 of Clubs, 9 of Clubs, Ace of Hearts]34.0
[Jack of Hearts, 9 of Hearts, 10 of Spades, 4 of Spades]49.0
[Jack of Diamonds, 7 of Diamonds, 7 of Clubs, 3 of Diamonds]30.0
[9 of Clubs, King of Diamonds, 7 of Diamonds, 10 of Diamonds]39.0
[Queen of Clubs, 6 of Clubs, 5 of Diamonds, 9 of Hearts]49.0
[Jack of Hearts, 2 of Diamonds, 4 of Hearts, 6 of Spades]39.0
[7 of Diamonds, Ace of Diamonds, Jack of Diamonds, 9 of Clubs]48.0
[Ace of Diamonds, Jack of Spades, 4 of Diamonds, 7 of Hearts]59.0
