Size	Height Random	Height LogN
25100	31	14.61539974
25200	35	14.62113611
25300	36	14.62684976
25400	34	14.63254088
25500	34	14.63820963
25600	34	14.64385619
25700	35	14.64948074
25800	34	14.65508345
25900	41	14.66066448
26000	34	14.666224
26100	32	14.67176219
26200	33	14.67727919
26300	32	14.68277518
26400	33	14.68825031
26500	35	14.69370474
26600	41	14.69913863
26700	32	14.70455212
26800	33	14.70994538
26900	35	14.71531855
27000	33	14.72067179
27100	33	14.72600523
27200	34	14.73131903
27300	34	14.73661333
27400	34	14.74188827
27500	34	14.747144
27600	34	14.75238065
27700	34	14.75759836
27800	36	14.76279726
27900	34	14.7679775
28000	34	14.77313921
28100	33	14.77828251
28200	39	14.78340754
28300	35	14.78851443
28400	35	14.79360331
28500	35	14.7986743
28600	35	14.80372753
28700	36	14.80876312
28800	32	14.81378119
28900	34	14.81878187
29000	37	14.82376528
29100	36	14.82873153
29200	32	14.83368075
29300	37	14.83861304
29400	35	14.84352853
29500	33	14.84842733
29600	36	14.85330956
29700	37	14.85817531
29800	37	14.86302471
29900	34	14.86785786
30000	33	14.87267488
30100	35	14.87747587
30200	35	14.88226093
30300	42	14.88703017
30400	39	14.8917837
30500	32	14.89652162
30600	36	14.90124403
30700	34	14.90595104
30800	35	14.91064273
30900	34	14.91531922
31000	40	14.9199806
31100	35	14.92462696
31200	35	14.92925841
31300	37	14.93387504
31400	35	14.93847694
31500	37	14.94306421
31600	35	14.94763694
31700	38	14.95219522
31800	34	14.95673915
31900	34	14.9612688
32000	34	14.96578428
32100	34	14.97028568
32200	35	14.97477307
32300	35	14.97924654
32400	37	14.98370619
32500	33	14.9881521
32600	35	14.99258434
32700	40	14.99700302
32800	37	15.00140819
32900	33	15.00579996
33000	34	15.0101784
33100	38	15.0145436
33200	36	15.01889562
33300	35	15.02323456
33400	33	15.02756048
33500	34	15.03187348
33600	35	15.03617361
33700	38	15.04046097
33800	37	15.04473563
33900	35	15.04899765
34000	40	15.05324713
34100	35	15.05748412
34200	38	15.0617087
34300	34	15.06592096
34400	41	15.07012094
34500	35	15.07430874
34600	35	15.07848442
34700	34	15.08264804
34800	36	15.08679969
34900	35	15.09093942
35000	36	15.0950673
35100	36	15.09918341
35200	43	15.10328781
35300	38	15.10738056
35400	38	15.11146174
35500	36	15.1155314
35600	39	15.11958962
35700	34	15.12363645
35800	38	15.12767197
35900	36	15.13169622
36000	33	15.13570929
36100	37	15.13971122
36200	38	15.14370208
36300	38	15.14768193
36400	34	15.15165083
36500	34	15.15560884
36600	34	15.15955603
36700	38	15.16349244
36800	35	15.16741815
36900	35	15.1713332
37000	36	15.17523765
37100	38	15.17913157
37200	34	15.183015
37300	35	15.18688801
37400	34	15.19075065
37500	38	15.19460298
37600	38	15.19844504
37700	36	15.2022769
37800	34	15.20609861
37900	37	15.20991023
38000	38	15.2137118
38100	36	15.21750338
38200	37	15.22128502
38300	36	15.22505677
38400	35	15.22881869
38500	38	15.23257083
38600	38	15.23631323
38700	38	15.24004595
38800	39	15.24376903
38900	37	15.24748253
39000	35	15.2511865
39100	34	15.25488099
39200	39	15.25856603
39300	36	15.26224169
39400	36	15.26590801
39500	36	15.26956503
39600	39	15.27321281
39700	39	15.27685139
39800	38	15.28048081
39900	37	15.28410113
40000	38	15.28771238
40100	38	15.29131462
40200	37	15.29490788
40300	36	15.29849222
40400	35	15.30206767
40500	37	15.30563429
40600	37	15.30919211
40700	40	15.31274117
40800	36	15.31628153
40900	35	15.31981322
41000	38	15.32333629
41100	37	15.32685077
41200	38	15.33035672
41300	34	15.33385416
41400	38	15.33734315
41500	36	15.34082372
41600	39	15.34429591
41700	38	15.34775976
41800	36	15.35121532
41900	37	15.35466262
42000	39	15.35810171
42100	38	15.36153261
42200	35	15.36495538
42300	38	15.36837004
42400	37	15.37177664
42500	45	15.37517522
42600	37	15.37856581
42700	34	15.38194845
42800	36	15.38532318
42900	40	15.38869003
43000	36	15.39204904
43100	34	15.39540025
43200	34	15.39874369
43300	37	15.4020794
43400	38	15.40540742
43500	39	15.40872778
43600	36	15.41204051
43700	37	15.41534566
43800	39	15.41864325
43900	39	15.42193332
44000	36	15.4252159
44100	40	15.42849104
44200	37	15.43175875
44300	32	15.43501908
44400	38	15.43827206
44500	35	15.44151772
44600	36	15.44475609
44700	36	15.44798721
44800	40	15.45121111
44900	36	15.45442782
45000	36	15.45763738
45100	36	15.46083981
45200	37	15.46403515
45300	38	15.46722343
45400	35	15.47040468
45500	37	15.47357892
45600	36	15.4767462
45700	38	15.47990654
45800	36	15.48305998
45900	36	15.48620653
46000	36	15.48934624
46100	37	15.49247913
46200	35	15.49560523
46300	36	15.49872457
46400	38	15.50183718
46500	41	15.5049431
46600	39	15.50804233
46700	37	15.51113493
46800	36	15.51422091
46900	40	15.5173003
47000	37	15.52037314
47100	38	15.52343944
47200	37	15.52649924
47300	38	15.52955256
47400	41	15.53259944
47500	36	15.53563989
47600	40	15.53867395
47700	40	15.54170165
47800	37	15.544723
47900	39	15.54773804
48000	35	15.55074679
48100	42	15.55374927
48200	39	15.55674553
48300	37	15.55973557
48400	38	15.56271943
48500	36	15.56569713
48600	40	15.56866869
48700	37	15.57163415
48800	45	15.57459353
48900	38	15.57754684
49000	38	15.58049413
49100	39	15.5834354
49200	34	15.5863707
49300	38	15.58930003
49400	36	15.59222342
49500	34	15.5951409
49600	43	15.5980525
49700	42	15.60095823
49800	38	15.60385812
49900	35	15.6067522
50000	39	15.60964047
50100	37	15.61252298
50200	44	15.61539974
50300	38	15.61827078
50400	37	15.62113611
50500	37	15.62399577
50600	39	15.62684976
50700	37	15.62969813
50800	38	15.63254088
50900	38	15.63537804
51000	35	15.63820963
51100	41	15.64103567
51200	39	15.64385619
51300	40	15.64667121
51400	40	15.64948074
51500	37	15.65228481
51600	37	15.65508345
51700	38	15.65787666
51800	39	15.66066448
51900	39	15.66344692
52000	36	15.666224
52100	35	15.66899575
52200	37	15.67176219
52300	38	15.67452333
52400	36	15.67727919
52500	39	15.6800298
52600	36	15.68277518
52700	41	15.68551534
52800	38	15.68825031
52900	35	15.6909801
53000	36	15.69370474
53100	38	15.69642424
53200	39	15.69913863
53300	38	15.70184791
53400	38	15.70455212
53500	38	15.70725127
53600	35	15.70994538
53700	35	15.71263447
53800	37	15.71531855
53900	40	15.71799765
54000	40	15.72067179
54100	35	15.72334097
54200	38	15.72600523
54300	42	15.72866458
54400	36	15.73131903
54500	38	15.73396861
54600	37	15.73661333
54700	36	15.73925321
54800	39	15.74188827
54900	37	15.74451853
55000	38	15.747144
55100	42	15.7497647
55200	38	15.75238065
55300	35	15.75499186
55400	40	15.75759836
55500	38	15.76020015
55600	41	15.76279726
55700	36	15.76538971
55800	40	15.7679775
55900	38	15.77056066
56000	38	15.77313921
56100	39	15.77571315
56200	40	15.77828251
56300	40	15.7808473
56400	38	15.78340754
56500	38	15.78596325
56600	38	15.78851443
56700	39	15.79106111
56800	39	15.79360331
56900	39	15.79614103
57000	36	15.7986743
57100	37	15.80120313
57200	38	15.80372753
57300	36	15.80624752
57400	36	15.80876312
57500	37	15.81127434
57600	38	15.81378119
57700	39	15.8162837
57800	37	15.81878187
57900	37	15.82127573
58000	40	15.82376528
58100	39	15.82625054
58200	36	15.82873153
58300	38	15.83120826
58400	40	15.83368075
58500	38	15.836149
58600	36	15.83861304
58700	36	15.84107288
58800	40	15.84352853
58900	40	15.84598001
59000	40	15.84842733
59100	35	15.85087051
59200	42	15.85330956
59300	39	15.85574448
59400	36	15.85817531
59500	36	15.86060205
59600	37	15.86302471
59700	37	15.86544331
59800	38	15.86785786
59900	37	15.87026838
60000	36	15.87267488
60100	39	15.87507737
60200	42	15.87747587
60300	42	15.87987038
60400	37	15.88226093
60500	40	15.88464752
60600	38	15.88703017
60700	38	15.8894089
60800	38	15.8917837
60900	41	15.89415461
61000	38	15.89652162
61100	39	15.89888476
61200	37	15.90124403
61300	36	15.90359945
61400	38	15.90595104
61500	40	15.90829879
61600	37	15.91064273
61700	39	15.91298287
61800	36	15.91531922
61900	37	15.91765179
62000	35	15.9199806
62100	40	15.92230565
62200	40	15.92462696
62300	40	15.92694454
62400	41	15.92925841
62500	37	15.93156857
62600	40	15.93387504
62700	35	15.93617782
62800	39	15.93847694
62900	41	15.9407724
63000	38	15.94306421
63100	44	15.94535238
63200	42	15.94763694
63300	36	15.94991788
63400	38	15.95219522
63500	38	15.95446897
63600	39	15.95673915
63700	36	15.95900575
63800	43	15.9612688
63900	36	15.96352831
64000	38	15.96578428
64100	38	15.96803674
64200	37	15.97028568
64300	39	15.97253112
64400	38	15.97477307
64500	37	15.97701154
64600	38	15.97924654
64700	38	15.98147809
64800	41	15.98370619
64900	38	15.98593086
65000	36	15.9881521
65100	40	15.99036992
65200	40	15.99258434
65300	42	15.99479537
65400	36	15.99700302
65500	41	15.99920729
65600	37	16.00140819
65700	39	16.00360575
65800	40	16.00579996
65900	37	16.00799084
66000	39	16.0101784
66100	37	16.01236265
66200	41	16.0145436
66300	40	16.01672125
66400	40	16.01889562
66500	37	16.02106672
66600	38	16.02323456
66700	38	16.02539914
66800	40	16.02756048
66900	40	16.02971859
67000	44	16.03187348
67100	36	16.03402515
67200	40	16.03617361
67300	39	16.03831888
67400	37	16.04046097
67500	41	16.04259988
67600	34	16.04473563
67700	39	16.04686821
67800	36	16.04899765
67900	37	16.05112395
68000	40	16.05324713
68100	38	16.05536718
68200	39	16.05748412
68300	36	16.05959796
68400	38	16.0617087
68500	38	16.06381637
68600	37	16.06592096
68700	38	16.06802248
68800	39	16.07012094
68900	38	16.07221636
69000	38	16.07430874
69100	39	16.07639809
69200	37	16.07848442
69300	40	16.08056773
69400	41	16.08264804
69500	39	16.08472536
69600	36	16.08679969
69700	38	16.08887104
69800	38	16.09093942
69900	38	16.09300484
70000	43	16.0950673
70100	39	16.09712682
70200	41	16.09918341
70300	38	16.10123707
70400	37	16.10328781
70500	41	16.10533564
70600	40	16.10738056
70700	40	16.10942259
70800	38	16.11146174
70900	37	16.11349801
71000	41	16.1155314
71100	39	16.11756194
71200	38	16.11958962
71300	41	16.12161446
71400	37	16.12363645
71500	38	16.12565562
71600	42	16.12767197
71700	42	16.1296855
71800	42	16.13169622
71900	43	16.13370415
72000	41	16.13570929
72100	43	16.13771164
72200	39	16.13971122
72300	38	16.14170803
72400	38	16.14370208
72500	38	16.14569337
72600	39	16.14768193
72700	38	16.14966774
72800	35	16.15165083
72900	42	16.15363119
73000	38	16.15560884
73100	40	16.15758379
73200	47	16.15955603
73300	39	16.16152558
73400	37	16.16349244
73500	37	16.16545663
73600	39	16.16741815
73700	41	16.169377
73800	39	16.1713332
73900	41	16.17328674
74000	38	16.17523765
74100	43	16.17718592
74200	41	16.17913157
74300	41	16.18107459
74400	40	16.183015
74500	39	16.18495281
74600	40	16.18688801
74700	42	16.18882062
74800	41	16.19075065
74900	41	16.1926781
75000	38	16.19460298
75100	36	16.19652529
75200	43	16.19844504
75300	40	16.20036224
75400	46	16.2022769
75500	41	16.20418902
75600	44	16.20609861
75700	38	16.20800568
75800	38	16.20991023
75900	36	16.21181227
76000	40	16.2137118
76100	39	16.21560883
76200	38	16.21750338
76300	40	16.21939544
76400	39	16.22128502
76500	41	16.22317213
76600	36	16.22505677
76700	41	16.22693896
76800	39	16.22881869
76900	38	16.23069598
77000	36	16.23257083
77100	40	16.23444324
77200	38	16.23631323
77300	39	16.23818079
77400	37	16.24004595
77500	40	16.24190869
77600	43	16.24376903
77700	37	16.24562698
77800	42	16.24748253
77900	36	16.24933571
78000	39	16.2511865
78100	38	16.25303493
78200	39	16.25488099
78300	40	16.25672469
78400	42	16.25856603
78500	42	16.26040503
78600	43	16.26224169
78700	39	16.26407602
78800	42	16.26590801
78900	42	16.26773768
79000	39	16.26956503
79100	40	16.27139007
79200	38	16.27321281
79300	43	16.27503325
79400	39	16.27685139
79500	42	16.27866724
79600	38	16.28048081
79700	40	16.2822921
79800	37	16.28410113
79900	42	16.28590788
80000	43	16.28771238
80100	39	16.28951462
80200	38	16.29131462
80300	40	16.29311237
80400	39	16.29490788
80500	38	16.29670116
80600	38	16.29849222
80700	41	16.30028105
80800	41	16.30206767
80900	40	16.30385208
81000	44	16.30563429
81100	41	16.30741429
81200	38	16.30919211
81300	38	16.31096773
81400	39	16.31274117
81500	44	16.31451244
81600	37	16.31628153
81700	40	16.31804846
81800	37	16.31981322
81900	39	16.32157583
82000	40	16.32333629
82100	42	16.3250946
82200	40	16.32685077
82300	39	16.32860481
82400	40	16.33035672
82500	45	16.3321065
82600	36	16.33385416
82700	38	16.33559971
82800	40	16.33734315
82900	37	16.33908448
83000	38	16.34082372
83100	37	16.34256086
83200	39	16.34429591
83300	36	16.34602888
83400	41	16.34775976
83500	43	16.34948858
83600	42	16.35121532
83700	37	16.35294
83800	38	16.35466262
83900	41	16.35638319
84000	41	16.35810171
84100	37	16.35981818
84200	42	16.36153261
84300	41	16.36324501
84400	38	16.36495538
84500	46	16.36666372
84600	37	16.36837004
84700	40	16.37007435
84800	39	16.37177664
84900	39	16.37347693
85000	37	16.37517522
85100	43	16.37687151
85200	40	16.37856581
85300	43	16.38025812
85400	44	16.38194845
85500	39	16.3836368
85600	40	16.38532318
85700	39	16.38700758
85800	38	16.38869003
85900	46	16.39037051
86000	39	16.39204904
86100	45	16.39372562
86200	40	16.39540025
86300	43	16.39707294
86400	42	16.39874369
86500	43	16.40041251
86600	38	16.4020794
86700	39	16.40374437
86800	40	16.40540742
86900	43	16.40706856
87000	38	16.40872778
87100	39	16.4103851
87200	37	16.41204051
87300	41	16.41369403
87400	39	16.41534566
87500	42	16.4169954
87600	38	16.41864325
87700	38	16.42028922
87800	42	16.42193332
87900	44	16.42357554
88000	39	16.4252159
88100	38	16.4268544
88200	39	16.42849104
88300	40	16.43012582
88400	39	16.43175875
88500	38	16.43338983
88600	40	16.43501908
88700	37	16.43664648
88800	41	16.43827206
88900	40	16.4398958
89000	42	16.44151772
89100	40	16.44313781
89200	37	16.44475609
89300	41	16.44637255
89400	40	16.44798721
89500	40	16.44960006
89600	41	16.45121111
89700	38	16.45282036
89800	40	16.45442782
89900	41	16.4560335
90000	40	16.45763738
90100	44	16.45923949
90200	41	16.46083981
90300	41	16.46243837
90400	44	16.46403515
90500	40	16.46563017
90600	40	16.46722343
90700	41	16.46881493
90800	44	16.47040468
90900	42	16.47199267
91000	39	16.47357892
91100	41	16.47516343
91200	42	16.4767462
91300	40	16.47832724
91400	38	16.47990654
91500	40	16.48148412
91600	43	16.48305998
91700	38	16.48463411
91800	41	16.48620653
91900	38	16.48777724
92000	42	16.48934624
92100	40	16.49091354
92200	42	16.49247913
92300	41	16.49404303
92400	40	16.49560523
92500	40	16.49716575
92600	38	16.49872457
92700	38	16.50028172
92800	39	16.50183718
92900	41	16.50339098
93000	44	16.5049431
93100	40	16.50649355
93200	38	16.50804233
93300	40	16.50958946
93400	39	16.51113493
93500	40	16.51267874
93600	38	16.51422091
93700	43	16.51576143
93800	42	16.5173003
93900	43	16.51883754
94000	37	16.52037314
94100	42	16.5219071
94200	39	16.52343944
94300	39	16.52497015
94400	39	16.52649924
94500	40	16.52802671
94600	42	16.52955256
94700	43	16.53107681
94800	37	16.53259944
94900	38	16.53412047
95000	42	16.53563989
95100	39	16.53715772
95200	41	16.53867395
95300	39	16.54018859
95400	39	16.54170165
95500	43	16.54321311
95600	41	16.544723
95700	41	16.5462313
95800	42	16.54773804
95900	38	16.54924319
96000	39	16.55074679
96100	40	16.55224881
96200	40	16.55374927
96300	39	16.55524818
96400	40	16.55674553
96500	39	16.55824132
96600	42	16.55973557
96700	38	16.56122827
96800	39	16.56271943
96900	43	16.56420905
97000	40	16.56569713
97100	42	16.56718368
97200	43	16.56866869
97300	39	16.57015218
97400	41	16.57163415
97500	41	16.5731146
97600	40	16.57459353
97700	40	16.57607094
97800	44	16.57754684
97900	41	16.57902124
98000	40	16.58049413
98100	40	16.58196552
98200	36	16.5834354
98300	42	16.5849038
98400	40	16.5863707
98500	47	16.5878361
98600	41	16.58930003
98700	40	16.59076246
98800	39	16.59222342
98900	40	16.5936829
99000	43	16.5951409
99100	40	16.59659744
99200	40	16.5980525
99300	45	16.5995061
99400	40	16.60095823
99500	39	16.60240891
99600	38	16.60385812
99700	39	16.60530588
99800	39	16.6067522
99900	40	16.60819706
100000	41	16.60964047
100100	41	16.61108245
100200	40	16.61252298
100300	37	16.61396208
100400	39	16.61539974
100500	39	16.61683598
100600	39	16.61827078
100700	48	16.61970416
100800	42	16.62113611
100900	40	16.62256665
101000	40	16.62399577
101100	40	16.62542347
101200	43	16.62684976
101300	43	16.62827465
101400	38	16.62969813
101500	42	16.6311202
101600	40	16.63254088
101700	42	16.63396015
101800	40	16.63537804
101900	45	16.63679453
102000	45	16.63820963
102100	39	16.63962334
102200	40	16.64103567
102300	41	16.64244662
102400	39	16.64385619
102500	40	16.64526438
102600	44	16.64667121
102700	44	16.64807666
102800	41	16.64948074
102900	44	16.65088346
103000	42	16.65228481
103100	43	16.65368481
103200	38	16.65508345
103300	43	16.65648073
103400	37	16.65787666
103500	42	16.65927124
103600	38	16.66066448
103700	38	16.66205637
103800	44	16.66344692
103900	43	16.66483613
104000	39	16.666224
104100	38	16.66761054
104200	40	16.66899575
104300	41	16.67037963
104400	43	16.67176219
104500	42	16.67314342
104600	40	16.67452333
104700	43	16.67590192
104800	41	16.67727919
104900	38	16.67865515
105000	42	16.6800298
105100	40	16.68140314
105200	38	16.68277518
105300	38	16.68414591
105400	42	16.68551534
105500	42	16.68688347
105600	39	16.68825031
105700	41	16.68961585
105800	43	16.6909801
105900	40	16.69234306
106000	43	16.69370474
106100	39	16.69506513
106200	44	16.69642424
106300	41	16.69778207
106400	44	16.69913863
106500	38	16.7004939
106600	39	16.70184791
106700	40	16.70320065
106800	41	16.70455212
106900	40	16.70590233
107000	42	16.70725127
107100	42	16.70859895
107200	43	16.70994538
107300	41	16.71129055
107400	41	16.71263447
107500	41	16.71397713
107600	39	16.71531855
107700	44	16.71665872
107800	42	16.71799765
107900	42	16.71933534
108000	42	16.72067179
108100	38	16.722007
108200	42	16.72334097
108300	41	16.72467372
108400	39	16.72600523
108500	40	16.72733552
108600	44	16.72866458
108700	40	16.72999241
108800	41	16.73131903
108900	38	16.73264443
109000	44	16.73396861
109100	42	16.73529158
109200	40	16.73661333
109300	42	16.73793388
109400	42	16.73925321
109500	40	16.74057134
109600	40	16.74188827
109700	40	16.743204
109800	40	16.74451853
109900	41	16.74583186
110000	39	16.747144
110100	41	16.74845494
110200	38	16.7497647
110300	41	16.75107327
110400	42	16.75238065
110500	40	16.75368684
110600	37	16.75499186
110700	39	16.7562957
110800	45	16.75759836
110900	40	16.75889984
111000	40	16.76020015
111100	43	16.76149929
111200	38	16.76279726
111300	39	16.76409407
111400	40	16.76538971
111500	44	16.76668418
111600	39	16.7679775
111700	42	16.76926966
111800	40	16.77056066
111900	40	16.77185051
112000	44	16.77313921
112100	40	16.77442675
112200	41	16.77571315
112300	42	16.7769984
112400	39	16.77828251
112500	43	16.77956548
112600	42	16.7808473
112700	42	16.78212799
112800	40	16.78340754
112900	44	16.78468596
113000	39	16.78596325
113100	42	16.7872394
113200	41	16.78851443
113300	40	16.78978834
113400	39	16.79106111
113500	40	16.79233277
113600	41	16.79360331
113700	40	16.79487273
113800	39	16.79614103
113900	41	16.79740822
114000	39	16.7986743
114100	41	16.79993927
114200	43	16.80120313
114300	39	16.80246588
114400	38	16.80372753
114500	45	16.80498807
114600	42	16.80624752
114700	44	16.80750587
114800	42	16.80876312
114900	42	16.81001927
115000	40	16.81127434
115100	40	16.81252831
115200	44	16.81378119
115300	40	16.81503299
115400	40	16.8162837
115500	43	16.81753333
115600	44	16.81878187
115700	39	16.82002934
115800	42	16.82127573
115900	42	16.82252104
116000	40	16.82376528
116100	39	16.82500845
116200	41	16.82625054
116300	41	16.82749157
116400	39	16.82873153
116500	44	16.82997043
116600	38	16.83120826
116700	40	16.83244504
116800	38	16.83368075
116900	40	16.8349154
117000	40	16.836149
117100	44	16.83738155
117200	40	16.83861304
117300	45	16.83984349
117400	43	16.84107288
117500	44	16.84230123
117600	39	16.84352853
117700	42	16.84475479
117800	44	16.84598001
117900	38	16.84720419
118000	39	16.84842733
118100	39	16.84964944
118200	40	16.85087051
118300	40	16.85209055
118400	39	16.85330956
118500	39	16.85452753
118600	43	16.85574448
118700	38	16.85696041
118800	39	16.85817531
118900	46	16.85938919
119000	44	16.86060205
119100	39	16.86181389
119200	40	16.86302471
119300	47	16.86423452
119400	47	16.86544331
119500	43	16.86665109
119600	43	16.86785786
119700	42	16.86906363
119800	39	16.87026838
119900	40	16.87147213
120000	39	16.87267488
120100	42	16.87387663
120200	40	16.87507737
120300	38	16.87627712
120400	40	16.87747587
120500	42	16.87867362
120600	39	16.87987038
120700	45	16.88106615
120800	45	16.88226093
120900	39	16.88345472
121000	42	16.88464752
121100	40	16.88583934
121200	40	16.88703017
121300	42	16.88822002
121400	44	16.8894089
121500	43	16.89059679
121600	39	16.8917837
121700	41	16.89296964
121800	40	16.89415461
121900	41	16.8953386
122000	38	16.89652162
122100	41	16.89770367
122200	39	16.89888476
122300	42	16.90006488
122400	40	16.90124403
122500	42	16.90242222
122600	42	16.90359945
122700	41	16.90477572
122800	41	16.90595104
122900	43	16.90712539
123000	42	16.90829879
123100	40	16.90947124
123200	40	16.91064273
123300	43	16.91181327
123400	40	16.91298287
123500	44	16.91415152
123600	43	16.91531922
123700	41	16.91648597
123800	41	16.91765179
123900	47	16.91881666
124000	38	16.9199806
124100	39	16.92114359
124200	39	16.92230565
124300	46	16.92346677
124400	42	16.92462696
124500	40	16.92578622
124600	40	16.92694454
124700	41	16.92810194
124800	42	16.92925841
124900	41	16.93041395
125000	41	16.93156857
125100	41	16.93272226
125200	41	16.93387504
125300	40	16.93502689
125400	42	16.93617782
125500	45	16.93732784
125600	40	16.93847694
125700	42	16.93962512
125800	42	16.9407724
125900	41	16.94191876
126000	42	16.94306421
126100	47	16.94420875
126200	45	16.94535238
126300	45	16.94649511
126400	43	16.94763694
126500	40	16.94877786
126600	46	16.94991788
126700	39	16.951057
126800	42	16.95219522
126900	43	16.95333254
127000	41	16.95446897
127100	39	16.9556045
127200	41	16.95673915
127300	40	16.95787289
